Category,Product Name,Quanaity,Price,Total Price
Crimson,Energy Drink Red Bull,2,352.84,705.68
Aquamarine,Peas - Frozen,10,482.2,4822
Orange,Tea - Herbal I Love Lemon,9,59.85,538.65
Teal,Sauce - Plum,14,152.47,2134.58
Aquamarine,Muffin - Mix - Creme Brule 15l,2,117.41,234.82
Turquoise,"Flour - Buckwheat, Dark",5,148.61,743.05
Goldenrod,Wine - Spumante Bambino White,7,15.88,111.16
Orange,Snapple Raspberry Tea,5,285.3,1426.5
Violet,Sausage - Andouille,15,216.99,3254.85
Teal,Wine - Niagara Peninsula Vqa,8,174.97,1399.76
Teal,Wine - Tribal Sauvignon,8,214.08,1712.64
Red,Sardines,15,43.93,658.95
Violet,Appetizer - Mango Chevre,13,132.18,1718.34
Green,Pastry - Cherry Danish - Mini,7,363.37,2543.59
Violet,Coffee - Espresso,9,315.19,2836.71
Indigo,Swiss Chard - Red,12,92.02,1104.24
Aquamarine,Steampan - Half Size Shallow,3,493.5,1480.5
Yellow,Egg Patty Fried,10,100.23,1002.3
Aquamarine,"Nut - Pecan, Halves",12,311.71,3740.52
Green,Scotch - Queen Anne,15,130.33,1954.95
Turquoise,Parsley - Fresh,9,354.13,3187.17
Teal,Wine - Magnotta - Cab Franc,3,446.87,1340.61
Purple,Wine - Zonnebloem Pinotage,12,272.77,3273.24
Indigo,"Juice - Apple, 1.36l",13,361.68,4701.84
Maroon,Tumeric,15,11.56,173.4
Purple,Pasta - Fusili Tri - Coloured,5,51.12,255.6
Red,Jicama,1,499.94,499.94
Crimson,Ecolab Silver Fusion,14,231.1,3235.4
Indigo,Herb Du Provence - Primerba,6,66.91,401.46
Indigo,Chicken - Base,11,354.24,3896.64
Yellow,Edible Flower - Mixed,14,390.35,5464.9
Green,Relish,15,75.64,1134.6
Goldenrod,Extract Vanilla Pure,6,56.77,340.62
Goldenrod,Pepper Squash,7,348.25,2437.75
Orange,Muffin Puck Ww Carrot,1,476.8,476.8
Turquoise,Pork - Bones,13,390.52,5076.76
Blue,"Water - Mineral, Natural",9,293.64,2642.76
Puce,Thermometer Digital,12,437.03,5244.36
Green,Shallots,10,205.32,2053.2
Maroon,Duck - Fat,8,35.76,286.08
Yellow,Yogurt - Assorted Pack,1,344.62,344.62
Blue,Potatoes - Yukon Gold 5 Oz,8,362.55,2900.4
Orange,Bar Mix - Lemon,7,375.7,2629.9
Fuscia,"Salt - Rock, Course",9,440.74,3966.66
Orange,Olives - Stuffed,11,286.78,3154.58
Mauv,"Wine - Red, Metus Rose",12,57.24,686.88
Aquamarine,"Yogurt - Raspberry, 175 Gr",14,486.31,6808.34
Fuscia,Sugar - Individual Portions,15,201.36,3020.4
Teal,Lid Tray - 16in Dome,1,386.85,386.85
Red,Chocolate Bar - Reese Pieces,6,397.05,2382.3
Goldenrod,Glycerine,14,474.15,6638.1
Mauv,"Wine - Red, Cabernet Sauvignon",11,66.47,731.17
Mauv,Tandoori Curry Paste,3,231.41,694.23
Crimson,Bread - White Epi Baguette,1,89.02,89.02
Yellow,"Sauce - Gravy, Au Jus, Mix",3,336.31,1008.93
Orange,"Shrimp - 16/20, Peeled Deviened",10,10.35,103.5
Goldenrod,Sole - Iqf,8,459.81,3678.48
Purple,Blouse / Shirt / Sweater,15,305.39,4580.85
Turquoise,Haggis,1,215.84,215.84
Orange,Mayonnaise - Individual Pkg,14,142.78,1998.92
Violet,Cake - Cheese Cake 9 Inch,6,458.71,2752.26
Mauv,Squash - Acorn,7,445.73,3120.11
Turquoise,Pastry - Plain Baked Croissant,12,148.41,1780.92
Green,Bread - Granary Small Pull,3,457.03,1371.09
Teal,Wine - Winzer Krems Gruner,7,333.44,2334.08
Orange,Pastry - Lemon Danish - Mini,7,45.66,319.62
Aquamarine,"Wine - White, Pinot Grigio",1,417.46,417.46
Fuscia,Danishes - Mini Raspberry,3,496.97,1490.91
Fuscia,Appetiser - Bought,4,112.94,451.76
Goldenrod,Wheat - Soft Kernal Of Wheat,13,32.06,416.78
Khaki,Wine - Toasted Head,15,116.8,1752
Indigo,Tuna - Bluefin,4,317.09,1268.36
Mauv,Spinach - Packaged,3,255.87,767.61
Green,"Potatoes - Instant, Mashed",2,179.89,359.78
Purple,Nectarines,6,70.65,423.9
Violet,Sobe - Orange Carrot,8,291.84,2334.72
Pink,Jameson Irish Whiskey,13,351.67,4571.71
Purple,Breakfast Quesadillas,4,378.9,1515.6
Purple,"Champagne - Brights, Dry",6,91.58,549.48
Fuscia,Gelatine Powder,14,360.39,5045.46
Green,The Pop Shoppe - Cream Soda,9,164.52,1480.68
Indigo,Duck - Fat,8,5.41,43.28
Teal,"Crab - Claws, Snow 16 - 24",15,153.69,2305.35
Turquoise,Pastry - Chocolate Chip Muffin,12,438.01,5256.12
Pink,"Beans - Kidney, Red Dry",8,19.01,152.08
Green,Buffalo - Short Rib Fresh,4,101.08,404.32
Blue,Truffle Shells - White Chocolate,7,322.41,2256.87
Fuscia,Whmis - Spray Bottle Trigger,13,75.4,980.2
Blue,Chocolate - White,3,415.72,1247.16
Indigo,Bread Crumbs - Japanese Style,7,94.54,661.78
Orange,Bag - Clear 7 Lb,6,427.75,2566.5
Pink,Tomatoes - Yellow Hot House,14,8.09,113.26
Indigo,Nutmeg - Ground,9,152.42,1371.78
Mauv,Bread - Pita,2,299.58,599.16
Khaki,Container - Clear 16 Oz,14,129.01,1806.14
Khaki,Chocolate - Sugar Free Semi Choc,9,206.03,1854.27
Green,"Syrup - Monin, Swiss Choclate",7,68.26,477.82
Teal,"Lamb - Pieces, Diced",14,22.45,314.3
Violet,Island Oasis - Pina Colada,15,189.88,2848.2
Mauv,Cheese - Mascarpone,3,128.82,386.46
Orange,The Pop Shoppe - Grape,15,225.86,3387.9
Mauv,Lamb Leg - Bone - In Nz,9,149.89,1349.01
Aquamarine,"C - Plus, Orange",10,96.95,969.5
Puce,"Clams - Littleneck, Whole",13,267.79,3481.27
Purple,"Water - Mineral, Carbonated",5,389.91,1949.55
Green,"Beans - Kidney, Red Dry",13,240.74,3129.62
Fuscia,"Trout - Rainbow, Fresh",14,53.05,742.7
Orange,"Pepper - Chipotle, Canned",11,118.66,1305.26
Aquamarine,Soup - Campbells Beef Noodle,3,12.31,36.93
Aquamarine,Wonton Wrappers,1,479.87,479.87
Puce,Graham Cracker Mix,15,221.98,3329.7
Crimson,"7up Diet, 355 Ml",15,18.45,276.75
Crimson,Coffee - Decaffeinato Coffee,11,273.69,3010.59
Violet,Jicama,9,80.34,723.06
Goldenrod,Bread - Malt,14,14.88,208.32
Aquamarine,"Wine - Red, Marechal Foch",1,386.78,386.78
Purple,Pork - Bones,11,407.14,4478.54
Maroon,Carbonated Water - Raspberry,2,209.76,419.52
Mauv,Pumpkin - Seed,7,117.55,822.85
Aquamarine,Beer - Sleemans Cream Ale,6,183.62,1101.72
Khaki,Yoplait - Strawbrasp Peac,11,450.4,4954.4
Aquamarine,"Lentils - Green, Dry",11,3.32,36.52
Turquoise,Fennel,7,262.23,1835.61
Purple,"Ham - Smoked, Bone - In",3,388.17,1164.51
Yellow,Soup - Campbells,2,14.53,29.06
Fuscia,Frangelico,3,72.71,218.13
Khaki,Muffin Hinge Container 6,1,11.39,11.39
Turquoise,"Halibut - Whole, Fresh",3,264.96,794.88
Indigo,Raisin - Dark,1,431.94,431.94
Violet,Lettuce Romaine Chopped,2,3.13,6.26
Green,"Lamb - Leg, Diced",4,378.34,1513.36
Blue,Mayonnaise,4,30.01,120.04
Khaki,Bagel - Whole White Sesame,11,11.97,131.67
Blue,Cheese - Bakers Cream Cheese,1,362.86,362.86
Maroon,Cheese Cloth,12,121.97,1463.64
Mauv,"Cup - 6oz, Foam",12,144.96,1739.52
Red,Honey - Lavender,5,68.77,343.85
Crimson,"Beef - Outside, Round",12,299.02,3588.24
Orange,Mushroom - Lg - Cello,9,27.11,243.99
Fuscia,Beer - True North Strong Ale,4,358.81,1435.24
Aquamarine,"Juice - Clam, 46 Oz",9,95.66,860.94
Crimson,Butter Balls Salted,15,216.69,3250.35
Puce,Pasta - Agnolotti - Butternut,8,83.57,668.56
Mauv,Soup - Campbells Mushroom,4,397.94,1591.76
Aquamarine,Dome Lid Clear P92008h,9,129.93,1169.37
Teal,Juice - Prune,12,265.81,3189.72
Khaki,Bread Roll Foccacia,6,128.88,773.28
Crimson,Smoked Paprika,14,118.58,1660.12
Crimson,Longos - Burritos,6,422.23,2533.38
Red,Cassis,15,402.91,6043.65
Fuscia,Rice - Sushi,15,235.25,3528.75
Orange,Sprouts - Alfalfa,8,306.11,2448.88
Teal,Bread Country Roll,15,140.4,2106
Mauv,"Veal - Chops, Split, Frenched",5,382.07,1910.35
Indigo,"Wine - Sherry Dry Sack, William",15,161.15,2417.25
Yellow,Dried Peach,7,143.39,1003.73
Khaki,Juice - Lime,8,242.88,1943.04
Aquamarine,"Lemonade - Kiwi, 591 Ml",4,149.24,596.96
Goldenrod,Sorrel - Fresh,12,135.41,1624.92
Teal,"Cheese - Cheddar, Mild",14,66.25,927.5
Green,Onions - Spanish,5,333.45,1667.25
Turquoise,Tobasco Sauce,13,142.75,1855.75
Crimson,"Coconut - Creamed, Pure",12,324.75,3897
Orange,Flour - Whole Wheat,3,495.18,1485.54
Purple,Cheese - Cheddar With Claret,4,493.54,1974.16
Maroon,Cream - 10%,5,423.03,2115.15
Yellow,Pork - Backfat,5,189.93,949.65
Pink,Cookie Dough - Oatmeal Rasin,4,283.55,1134.2
Mauv,Chivas Regal - 12 Year Old,1,425.49,425.49
Indigo,Pepper - Jalapeno,5,377.34,1886.7
Purple,Kellogs Special K Cereal,6,245.13,1470.78
Violet,Buffalo - Short Rib Fresh,5,487.66,2438.3
Aquamarine,Gatorade - Lemon Lime,15,393.87,5908.05
Teal,Island Oasis - Strawberry,9,198.85,1789.65
Blue,Catfish - Fillets,8,76.52,612.16
Puce,Devonshire Cream,5,280.8,1404
Mauv,"Wine - Bourgogne 2002, La",14,290.96,4073.44
Orange,Sugar - Icing,11,464.35,5107.85
Pink,"Chicken - Diced, Cooked",1,478.32,478.32
Khaki,Soup - Base Broth Chix,15,90.52,1357.8
Aquamarine,Foam Tray S2,15,258.33,3874.95
Turquoise,Sage Ground Wiberg,6,427.84,2567.04
Aquamarine,Baking Soda,7,359.16,2514.12
Goldenrod,Wine - Tribal Sauvignon,3,7.18,21.54
Green,Venison - Striploin,13,193.82,2519.66
Aquamarine,Liquid Aminios Acid - Braggs,2,438.74,877.48
Green,Squash - Butternut,7,37.6,263.2
Purple,Irish Cream - Butterscotch,10,82.4,824
Crimson,Anchovy In Oil,10,246.41,2464.1
Green,"Ranchero - Primerba, Paste",6,490.6,2943.6
Violet,Ecolab - Hobart Upr Prewash Arm,11,147.46,1622.06
Red,Dried Cherries,12,432.87,5194.44
Aquamarine,Wine - Pinot Noir Latour,12,13.54,162.48
Turquoise,"Cheese - Romano, Grated",13,132.52,1722.76
Violet,"Tendrils - Baby Pea, Organic",13,59.6,774.8
Orange,Lid Tray - 12in Dome,9,120.18,1081.62
Blue,Grapes - Red,2,314.38,628.76
Teal,Apron,4,428.76,1715.04
Pink,"Pasta - Cannelloni, Sheets, Fresh",15,149.16,2237.4
Green,Longos - Lasagna Veg,12,299.34,3592.08
Blue,Wine - Chablis 2003 Champs,15,129.28,1939.2
Violet,Icecream Cone - Areo Chocolate,4,97.43,389.72
Crimson,Table Cloth 62x120 Colour,15,484.79,7271.85
Teal,"Vinegar - Balsamic, White",4,286.56,1146.24
Puce,"Pasta - Fettuccine, Dry",1,321.35,321.35
Purple,"Syrup - Golden, Lyles",11,266.56,2932.16
Fuscia,Oil - Coconut,7,120.68,844.76
Khaki,Wine - Touraine Azay - Le - Rideau,14,485.55,6797.7
Crimson,Ice Cream - Life Savers,8,399.98,3199.84
Orange,"Bread - Crumbs, Bulk",13,33.69,437.97
Indigo,Sour Puss - Tangerine,1,250.94,250.94
Teal,Wine - Zinfandel Rosenblum,8,290.4,2323.2
Blue,"Tortillas - Flour, 10",11,473.58,5209.38
Pink,"Nut - Hazelnut, Ground, Natural",6,205.88,1235.28
Khaki,Potatoes - Mini White 3 Oz,3,165.34,496.02
Fuscia,Slt - Individual Portions,8,201.87,1614.96
Violet,"Beef - Rib Roast, Cap On",4,362.14,1448.56
Aquamarine,"Turkey - Breast, Boneless Sk On",14,182.91,2560.74
Pink,Pails With Lids,4,293.29,1173.16
Yellow,Pork - Shoulder,15,46.33,694.95
Violet,"Ecolab - Orange Frc, Cleaner",5,352.83,1764.15
Purple,"Plate - Foam, Bread And Butter",8,142.03,1136.24
Teal,Burger Veggie,12,392.55,4710.6
Goldenrod,Beans - Fine,1,250.15,250.15
Violet,Goat - Leg,15,297.08,4456.2
Blue,Galliano,10,426.12,4261.2
Purple,Puree - Strawberry,9,57.05,513.45
Indigo,Lettuce - Sea / Sea Asparagus,6,147.66,885.96
Violet,Pate Pans Yellow,2,71.29,142.58
Turquoise,Quinoa,11,307.61,3383.71
Purple,Beef - Shank,9,427.71,3849.39
Fuscia,"Soup - Knorr, Classic Can. Chili",10,164.29,1642.9
Pink,Bread - Bistro Sour,10,124.43,1244.3
Green,Container Clear 8 Oz,8,159.2,1273.6
Yellow,"Fish - Base, Bouillion",9,116.02,1044.18
Blue,Spice - Onion Powder Granulated,6,335.12,2010.72
Turquoise,Bread Crumbs - Japanese Style,9,293.58,2642.22
Indigo,Kolrabi,7,440.25,3081.75
Maroon,Corn - Mini,4,294.98,1179.92
Goldenrod,Beef - Salted,5,233.2,1166
Red,Wine - Pinot Noir Pond Haddock,15,428.21,6423.15
Violet,Shrimp - Black Tiger 16/20,5,147.32,736.6
Khaki,Apple - Macintosh,11,141.1,1552.1
Teal,Wine - Pinot Grigio Collavini,4,223.38,893.52
Fuscia,Pastry - Chocolate Chip Muffin,13,462.81,6016.53
Goldenrod,Honey - Liquid,4,397.08,1588.32
Maroon,Jameson - Irish Whiskey,15,344.15,5162.25
Orange,Chef Hat 20cm,8,188.83,1510.64
Mauv,Wine - Pinot Noir Stoneleigh,12,442.45,5309.4
Aquamarine,Appetizer - Veg Assortment,7,460.48,3223.36
Red,Wine - Cabernet Sauvignon,7,220.05,1540.35
Blue,Wine - Toasted Head,2,243.77,487.54
Khaki,Lamb Shoulder Boneless Nz,15,106.29,1594.35
Khaki,"Wine - Red, Pinot Noir, Chateau",11,388.42,4272.62
Goldenrod,Appetizer - Sausage Rolls,13,406.82,5288.66
Mauv,The Pop Shoppe - Root Beer,14,214.97,3009.58
Violet,"7up Diet, 355 Ml",14,49.2,688.8
Purple,Vanilla Beans,10,491.06,4910.6
Indigo,Onions - Spanish,13,286.87,3729.31
Blue,Chocolate - Compound Coating,7,239.71,1677.97
Crimson,Sauce - Sesame Thai Dressing,4,20.93,83.72
Crimson,"Pork - Back, Short Cut, Boneless",12,458.36,5500.32
Yellow,Fuji Apples,9,297.56,2678.04
Blue,"Pepper - White, Ground",5,237.78,1188.9
Fuscia,Sauce - Demi Glace,8,8.74,69.92
Teal,"Wine - Bourgogne 2002, La",15,24.54,368.1
Aquamarine,Dried Peach,3,87.33,261.99
Green,Venison - Racks Frenched,12,401.44,4817.28
Orange,Mushroom - Morel Frozen,5,232.35,1161.75
Orange,Calypso - Strawberry Lemonade,10,167.19,1671.9
Fuscia,Spic And Span All Purpose,7,81.59,571.13
Khaki,The Pop Shoppe - Grape,9,456.22,4105.98
Pink,"Pasta - Fett Alfredo, Single Serve",1,104.04,104.04
Mauv,Raisin - Dark,9,214.36,1929.24
Goldenrod,Veal - Insides Provini,3,329.41,988.23
Khaki,Salmon - Sockeye Raw,13,425.77,5535.01
Green,Oneshot Automatic Soap System,12,139.64,1675.68
Violet,Chicken - Whole,11,63.45,697.95
Pink,Ginger - Ground,9,434.68,3912.12
Khaki,Sping Loaded Cup Dispenser,5,394.49,1972.45
Aquamarine,Wine - Sogrape Mateus Rose,2,76.5,153
Maroon,Scotch - Queen Anne,6,197.15,1182.9
Indigo,Flower - Commercial Spider,9,397.07,3573.63
Blue,Wine - Casillero Deldiablo,3,387.3,1161.9
Blue,Soup - Campbells Mac N Cheese,2,340.87,681.74
Violet,Pimento - Canned,15,446.67,6700.05
Khaki,Scrubbie - Scotchbrite Hand Pad,9,341.12,3070.08
Turquoise,Bag - Clear 7 Lb,4,41.57,166.28
Purple,Raisin - Dark,5,235.55,1177.75
Blue,Soup Campbells Mexicali Tortilla,8,224.66,1797.28
Goldenrod,Bagels Poppyseed,2,345.15,690.3
Khaki,Table Cloth 90x90 White,6,364.97,2189.82
Goldenrod,Pectin,4,129.69,518.76
Blue,"Soup - Campbells, Chix Gumbo",6,22.98,137.88
Orange,"Mushroom - Porcini, Dry",3,401.46,1204.38
Crimson,"Chicken - Diced, Cooked",15,333.21,4998.15
Blue,Chocolate - Compound Coating,4,258.42,1033.68
Crimson,Muffin Mix - Oatmeal,5,78.8,394
Pink,Tequila Rose Cream Liquor,4,30.16,120.64
Purple,Bread Crumbs - Japanese Style,1,228.12,228.12
Aquamarine,Mortadella,3,402.01,1206.03
Green,Coffee - Dark Roast,14,206.09,2885.26
Turquoise,"Wine - Red, Gamay Noir",7,10.92,76.44
Goldenrod,Beef - Short Ribs,12,97.47,1169.64
Green,Water - Aquafina Vitamin,13,213.36,2773.68
Blue,Hipnotiq Liquor,8,114.25,914
Khaki,Cup - Translucent 7 Oz Clear,4,4.38,17.52
Indigo,Carbonated Water - Wildberry,5,486.27,2431.35
Red,Muffin Chocolate Individual Wrap,9,449.65,4046.85
Pink,"Wine - Red, Harrow Estates, Cab",10,231.03,2310.3
Khaki,"Pasta - Rotini, Colour, Dry",8,274.52,2196.16
Purple,Fork - Plastic,6,134.15,804.9
Goldenrod,Swiss Chard,15,403.58,6053.7
Green,Energy Drink - Redbull 355ml,13,37.3,484.9
Indigo,Veal - Inside,3,20.4,61.2
Pink,Nestea - Iced Tea,3,256.8,770.4
Khaki,Muffin Puck Ww Carrot,1,234.55,234.55
Violet,Pickerel - Fillets,9,283.48,2551.32
Violet,Yoghurt Tubes,5,6.97,34.85
Yellow,Bacon Strip Precooked,11,392.95,4322.45
Yellow,Capers - Ox Eye Daisy,14,136.46,1910.44
Violet,Hold Up Tool Storage Rack,1,55.36,55.36
Violet,"Leeks - Baby, White",15,7.88,118.2
Turquoise,"Wine - Harrow Estates, Vidal",15,72.18,1082.7
Crimson,Wine - Gewurztraminer Pierre,7,454.97,3184.79
Yellow,Lobster - Base,4,56.53,226.12
Mauv,Sour Cream,8,496.68,3973.44
Orange,"Jam - Marmalade, Orange",1,114.48,114.48
Turquoise,Onions - White,5,381.86,1909.3
Purple,Compound - Pear,15,158.83,2382.45
Green,Beans - Butter Lrg Lima,14,475.41,6655.74
Goldenrod,Oyster - In Shell,3,29.43,88.29
Yellow,"Wine - White, Pinot Grigio",10,289.18,2891.8
Indigo,"Veal - Inside Round / Top, Lean",6,186.99,1121.94
Teal,Potatoes - Fingerling 4 Oz,10,234.76,2347.6
Turquoise,Wine - Vouvray Cuvee Domaine,15,67.39,1010.85
Goldenrod,Scallops - In Shell,9,161.84,1456.56
Goldenrod,Table Cloth 81x81 Colour,4,482.61,1930.44
Khaki,Yeast Dry - Fermipan,8,490.62,3924.96
Puce,Tahini Paste,9,161.24,1451.16
Purple,"Nut - Pecan, Pieces",10,366.4,3664
Blue,Sour Puss Sour Apple,12,42.53,510.36
Turquoise,Danishes - Mini Raspberry,12,180.07,2160.84
Crimson,Lettuce - Iceberg,13,149.73,1946.49
Puce,Wine - Rhine Riesling Wolf Blass,2,474.5,949
Crimson,Southern Comfort,9,468.19,4213.71
Turquoise,Tia Maria,12,195.38,2344.56
Violet,Milk - 2% 250 Ml,14,201.35,2818.9
Crimson,Snapple - Mango Maddness,5,347.09,1735.45
Fuscia,"Lamb - Loin, Trimmed, Boneless",3,467.13,1401.39
Purple,Soup - Chicken And Wild Rice,14,433.68,6071.52
Teal,Flower - Leather Leaf Fern,5,267.79,1338.95
Crimson,Jagermeister,5,33.45,167.25
Pink,Bread - Pain Au Liat X12,3,32.25,96.75
Maroon,Flower - Commercial Spider,13,279.01,3627.13
Teal,Potatoes - Peeled,6,290.65,1743.9
Puce,"Pasta - Penne, Rigate, Dry",8,386.97,3095.76
Aquamarine,Puree - Strawberry,13,105.36,1369.68
Red,Tarragon - Fresh,5,113.37,566.85
Mauv,Vodka - Moskovskaya,3,329.73,989.19
Violet,Steampan - Foil,10,328.11,3281.1
Red,Pork - Sausage Casing,12,300.48,3605.76
Fuscia,Tuna - Salad Premix,1,39.88,39.88
Yellow,Tea - Herbal Sweet Dreams,12,421.09,5053.08
Puce,Wine - Coteaux Du Tricastin Ac,5,320.2,1601
Khaki,"Nut - Walnut, Pieces",10,421.42,4214.2
Green,Ecolab - Lime - A - Way 4/4 L,4,224.59,898.36
Khaki,Bread - Focaccia Quarter,11,268.73,2956.03
Khaki,Veal - Bones,14,224.47,3142.58
Crimson,Cheese - Grana Padano,14,360.02,5040.28
Fuscia,Frangelico,15,93.47,1402.05
Pink,"Napkin - Beverge, White 2 - Ply",14,444.96,6229.44
Purple,"Juice - Tomato, 48 Oz",4,17.68,70.72
Purple,Tea - Herbal I Love Lemon,10,306.37,3063.7
Yellow,"Olives - Green, Pitted",7,106.05,742.35
Goldenrod,Bread - Italian Corn Meal Poly,13,194.69,2530.97
Aquamarine,Beef - Sushi Flat Iron Steak,10,1.26,12.6
Crimson,Duck - Whole,1,59.97,59.97
Maroon,Fudge - Cream Fudge,13,104.49,1358.37
Puce,Muffin - Zero Transfat,3,405.09,1215.27
Purple,Vinegar - Cider,1,344.95,344.95
Turquoise,Wine - Sawmill Creek Autumn,9,56.11,504.99
Turquoise,Truffle Shells - White Chocolate,1,27.6,27.6
Mauv,"Vinegar - Balsamic, White",15,163.91,2458.65
Turquoise,Wine - Casillero Del Diablo,7,218.52,1529.64
Purple,Peas Snow,12,108.71,1304.52
Red,Cornflakes,12,106.26,1275.12
Khaki,"Mushroom - Chanterelle, Dry",8,110.94,887.52
Crimson,Soy Protein,4,39.32,157.28
Aquamarine,Bagel - 12 Grain Preslice,1,238.05,238.05
Crimson,"Wine - Magnotta - Red, Baco",12,61.43,737.16
Maroon,Beef - Rib Eye Aaa,4,398.59,1594.36
Khaki,"Tuna - Canned, Flaked, Light",10,480.44,4804.4
Maroon,Campari,4,421,1684
Red,Mushroom - Porcini Frozen,5,319.33,1596.65
Purple,Wine - Chablis J Moreau Et Fils,1,346.09,346.09
Fuscia,Higashimaru Usukuchi Soy,15,292.64,4389.6
Green,"Beans - Fava, Canned",9,216.44,1947.96
Mauv,"Juice - V8, Tomato",2,21.68,43.36
Aquamarine,Cheese - Goat,3,436.41,1309.23
Crimson,Wine - Sauvignon Blanc,9,431.54,3883.86
Orange,Vinegar - Sherry,4,349.96,1399.84
Green,Bamboo Shoots - Sliced,6,474.1,2844.6
Khaki,Tea - Black Currant,10,460.85,4608.5
Fuscia,Silicone Paper 16.5x24,1,358.2,358.2
Red,Truffle Paste,13,322.59,4193.67
Green,Quinoa,3,286.2,858.6
Orange,Tilapia - Fillets,15,132.68,1990.2
Goldenrod,"Wine - Red, Cooking",6,265.56,1593.36
Teal,Carbonated Water - Strawberry,13,55.65,723.45
Teal,Oil - Grapeseed Oil,9,495.77,4461.93
Goldenrod,Flour - Fast / Rapid,5,271.31,1356.55
Yellow,Syrup - Chocolate,2,472.39,944.78
Yellow,Tea - Vanilla Chai,15,431.16,6467.4
Khaki,Beef - Diced,10,111.74,1117.4
Khaki,"Tortillas - Flour, 10",13,291.27,3786.51
Indigo,Beans - Soya Bean,7,490.97,3436.79
Green,"Crab - Dungeness, Whole, live",14,314.83,4407.62
Puce,Bread - Rosemary Focaccia,10,460.52,4605.2
Violet,Dragon Fruit,8,308.62,2468.96
Crimson,Slt - Individual Portions,4,459.57,1838.28
Blue,Compound - Raspberry,5,311.97,1559.85
Blue,"Pork - Sausage, Medium",8,47.07,376.56
Blue,Ice Cream - Vanilla,15,420.66,6309.9
Orange,Coffee - Hazelnut Cream,6,443.57,2661.42
Pink,Kellogs Special K Cereal,15,383.02,5745.3
Yellow,"Nut - Pistachio, Shelled",5,74.56,372.8
Purple,"Wine - White, Colubia Cresh",12,104.67,1256.04
Pink,Wine - Chardonnay South,14,361.41,5059.74
Aquamarine,Boogies,5,300.61,1503.05
Turquoise,"Artichokes - Knobless, White",10,408.39,4083.9
Crimson,Eggwhite Frozen,3,439.93,1319.79
Blue,Ice Cream - Strawberry,9,150.47,1354.23
Turquoise,Bread - Hamburger Buns,15,35.88,538.2
Pink,Squeeze Bottle,9,19.69,177.21
Blue,"Cheese - Brie, Triple Creme",7,486.02,3402.14
Teal,Flavouring Vanilla Artificial,1,497.81,497.81
Yellow,Sprouts - Corn,5,78.99,394.95
Blue,Rabbit - Frozen,8,124.81,998.48
Indigo,"Bread - Sticks, Thin, Plain",12,417.26,5007.12
Pink,Truffle - Whole Black Peeled,15,282.16,4232.4
Goldenrod,Crawfish,5,86.34,431.7
Fuscia,Bagel - Everything,2,465.52,931.04
Yellow,Appetizer - Asian Shrimp Roll,7,432.7,3028.9
Khaki,Pear - Prickly,5,52.8,264
Mauv,Wine - Sauvignon Blanc,11,39.8,437.8
Crimson,Beef - Shank,9,474.45,4270.05
Fuscia,Salt - Celery,12,479.78,5757.36
Yellow,Oil - Peanut,12,199.9,2398.8
Turquoise,"Juice - Apple, 1.36l",7,417.39,2921.73
Red,Steampan - Lid For Half Size,1,335.12,335.12
Blue,"Pasta - Penne Primavera, Single",2,197.1,394.2
Crimson,Wine - Fume Blanc Fetzer,1,64.48,64.48
Maroon,Pepper - Green Thai,12,146.25,1755
Khaki,Sunflower Seed Raw,10,350.75,3507.5
Violet,Sprouts Dikon,15,344.94,5174.1
Goldenrod,Vinegar - White,3,289.47,868.41
Yellow,The Pop Shoppe - Black Cherry,4,84.55,338.2
Mauv,"Nut - Chestnuts, Whole",7,147.34,1031.38
Purple,"Pasta - Shells, Medium, Dry",2,342.61,685.22
Green,"Wine - White, French Cross",6,5.35,32.1
Yellow,Chocolate - Sugar Free Semi Choc,15,380.99,5714.85
Violet,Sprouts - Corn,15,131.37,1970.55
Blue,Island Oasis - Wildberry,9,385.05,3465.45
Orange,Honey - Liquid,14,496.07,6944.98
Puce,"Ham - Smoked, Bone - In",1,240.04,240.04
Green,Bagelers,14,306.97,4297.58
Goldenrod,"Water - Mineral, Natural",14,271.06,3794.84
Maroon,Whmis - Spray Bottle Trigger,2,102.89,205.78
Green,Chips - Miss Vickies,5,98.78,493.9
Mauv,Wine - Riesling Dr. Pauly,13,240.27,3123.51
Pink,Bread - Crusty Italian Poly,5,319.37,1596.85
Fuscia,Pastry - Raisin Muffin - Mini,10,100.32,1003.2
Indigo,Sage - Fresh,4,148.45,593.8
Teal,Cheese - Fontina,1,336.63,336.63
Pink,Hot Chocolate - Individual,11,239.49,2634.39
Turquoise,Beef - Ground Lean Fresh,6,476.87,2861.22
Crimson,"Wine - White, Chardonnay",4,215.96,863.84
Pink,Soup - Base Broth Beef,11,335.44,3689.84
Maroon,"Yeast - Fresh, Fleischman",4,283.09,1132.36
Maroon,Glove - Cutting,15,149.87,2248.05
Orange,"Stock - Beef, Brown",9,392.28,3530.52
Green,Buttons,6,394.7,2368.2
Mauv,Salmon Atl.whole 8 - 10 Lb,15,80.45,1206.75
Mauv,Pastry - Chocolate Marble Tea,1,320.25,320.25
Indigo,"Tart Shells - Savory, 2",4,286,1144
Yellow,Squash - Acorn,9,110.06,990.54
Red,"Brandy - Orange, Mc Guiness",9,187.67,1689.03
Mauv,Beer - Heinekin,10,181.31,1813.1
Goldenrod,Flour Dark Rye,6,338.5,2031
Blue,"Vodka - Hot, Lnferno",10,160.58,1605.8
